handle,maintainer-email,name,provider-homepage,provider-institution,provider-name,template-type
RePEc:aes:jetimm,luciano@ase.ro,Journal of Emerging Trends in Marketing and Management,http://www.etimm.ase.ro,RePEc:edi:aseeero,The Bucharest University of Economic Studies,ReDIF-Series 1.0
RePEc:aeu:econom,nasri.harb@uaeu.ac.ae,Economics Working Papers,http://www.cbe.uaeu.ac.ae/academics/departments/econ/index.htm,RePEc:edi:deuaeae,"Department of Economics, College of  Business and  Economics, UAE University",ReDIF-Series 1.0
RePEc:afc:ecosoc,webmaster@cliometrie.org,Economies et SociÈtÈs (Serie 'Histoire Economique Quantitative'),http://www.cliometrie.org,RePEc:edi:afcccea,Association FranÁaise de CliomÈtrie (AFC),ReDIF-Series 1.0
RePEc:afe:journl,mwangi@econs.umass.edu,Journal of African Development,http://www.jadafea.com/,RePEc:edi:afeaaea,African Finance and Economic Association,ReDIF-Series 1.0
RePEc:afj:journ2,kirk@africagrowth.com,Africagrowth Agenda,http://www.africagrowth.com/,RePEc:edi:afrgrza,Africagrowth Institute,ReDIF-Series 1.0
RePEc:agd:wpaper,info@afridev.org,Working Papers,http://www.afridev.org/index.php/en/,RePEc:edi:agdiycm,African Governance and Development Institute.,ReDIF-Series 1.0
RePEc:agh:journl,llach@zarz.agh.edu.pl,Managerial Economics,,RePEc:edi:wzaghpl,"AGH University of Science and Technology, Faculty of Management",ReDIF-Series 1.0
RePEc:agi:wpaper,tamura@agi.or.jp,AGI Working Paper Series,http://www.agi.or.jp/,RePEc:edi:icseajp,Asian Growth Research Institute,ReDIF-Series 1.0
RePEc:agr:ecbook,economia.ta@edeconomica.com,Economics Books,,RePEc:edi:agerrea,The Economica Publishing House,ReDIF-Series 1.0
RePEc:ags:plirrd,aesearch@umn.edu,Monitoring rozwoju obszarow wiejskich (Rural Development Monitoring),http://www.irwirpan.waw.pl/,RePEc:edi:irwirpl,Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk,ReDIF-Series 1.0
RePEc:ahe:dtaehe,estrinaz@ccee.ucm.es,Documentos de Trabajo (DT-AEHE),http://www.aehe.es,RePEc:edi:aeheeea,Asociacion Española de Historia Economica,ReDIF-Series 1.0
RePEc:aia:indrnl,k.g.tijdens@uva.nl,Labour markets and industrial relations in the Netherlands - Working Papers,http://www.uva-aias.net,RePEc:edi:aiuvanl,"AIAS, Amsterdam Institute for Advanced Labour Studies",ReDIF-Series 1.0
RePEc:aic:jopafl,salexis_ro@yahoo.com,"Journal of Public Administration, Finance and Law",http://www.jopafl.com/,RePEc:edi:feaicro,"Alexandru Ioan Cuza University, Faculty of Economics and Business Administration",ReDIF-Series 1.0
RePEc:ail:chapts,aiel@aiel.it,AIEL Series in Labour Economics,,RePEc:edi:aiellea,AIEL - Associazione Italiana Economisti del Lavoro,ReDIF-Series 1.0
RePEc:aim:wpaimx,yves.doazan@univ-amu.fr,AMSE Working Papers,http://www.amse-aixmarseille.fr/en,RePEc:edi:maseafr,"Aix-Marseille School of Economics, Marseille, France",ReDIF-Series 1.0
RePEC:AIO:fpvfcf,iacobescu_a@yahoo.com,Finante - provocarile viitorului (Finance - Challenges of the Future),,RePEc:edi:fecraro,"University of Craiova, Faculty of Economics and Business Administration",ReDIF-Series 1.0
RepEc:ais:pbrief,info@asimmetrie.org,a/ Policy Briefs Series,http://www.asimmetrie.org,RePEc:edi:asimmea,"Italian Association for the Study of Economic Asymmetries, Rome (Italy)",ReDIF-Series 1.0
RePEc:aiu:abewps,ziarat@aiub.edu,AIUB Bus Econ Working Paper Series,https://orp.aiub.edu/,,"American International University-Bangladesh (AIUB), Office of Research and Publications (ORP)",ReDIF-Series 1.0
RePEc:aje:articl,t.millen@uq.edu.au,Australasian Journal of Economics Education (AJEE),http://www.uq.edu.au/economics/AJEE,RePEc:edi:decuqau,"University of Queensland, School of Economics",ReDIF-Series 1.0
RePEc:ajm:journl,admin@iurc.edu.pk,"South Asian Journal of Management Sciences (SAJMS), Iqra University",,RePEc:edi:rciqrpk,"Office of Research, Innovation & Commercialization (ORIC), Iqra University",ReDIF-Series 1.0
RePEc:aka:aoecon,Vajda.Lorinc@akkrt.hu,Acta Oeconomica,http://www.akkrt.hu,Akad√©miai Kiad√≥ Zrt.,"Akad√©miai Kiad√≥, Hungary",ReDIF-Series 1.0
RePEc:ala:wpaper,afja@uaa.alaska.edu,Working Papers,http://www.cbpp.uaa.alaska.edu/CBPPHome/DepartmentsandMajors/Economics.aspx,RePEc:edi:ecuaaus,"University of Alaska Anchorage, Department of Economics",ReDIF-Series 1.0
RePEc:alb:series,EconPapers@oru.se,Information Bulletins,http://www.business.ualberta.ca/Centres/WCER.aspx,RePEc:edi:wcualca,Western Centre for Economic Research,ReDIF-Series 1.0
RePEc:alc:alcamo,juan.muro@uah.es,Alcamentos,http://www3.uah.es/alcametrica,RePEc:edi:dsuahes,"Universidad de Alcal·, Departamento de EconomÌa.",ReDIF-Series 1.0
RePEc:ale:dociei,fgtortosa@iei.ua.es,Documentos de trabajo IEI,https://iei.ua.es,RePEc:edi:ieuales,Universidad de Alicante Instituto de Economia Internacional,ReDIF-Series 1.0
RePEc:alg:jijdte,robert.kopal@algebra.hr,International Journal of Digital Technology and Economy,https://algebra.university/,,University College Algebra,ReDIF-Series 1.0
RePEc:ali:wpaper,repec.aliss@ivry.inra.fr,Working Papers,http://www.versailles-grignon.inra.fr/aliss/,RePEc:edi:corelfr,Alimentation et Sciences Sociales,ReDIF-Series 1.0
RePEc:alm:journl,leila.bardasuc@uamsibiu.ro,Alma Mater University journal,,RePEc:edi:feuamro,Alma Mater University jornal of Sibiu,ReDIF-Series 1.0
RePEc:alu:journl,revista_oeconomica@uab.ro,Annales Universitatis Apulensis Series Oeconomica,,,"Faculty of Sciences, ""1 Decembrie 1918"" University, Alba Iulia",ReDIF-Series 1.0
RePEc:ama:journl,Dragan2011@i.ua,Management,,RePEc:edi:amakyua,Academy of Municipal Administration,ReDIF-Series 1.0
RePEc:ame:wpaper,N.P.A.vanGiersbergen@UvA.nl,UvA-Econometrics Working Papers,,,,ReDIF-Series 1.0
RePEc:amf:ijpmfa,raluca.eftimie@fundatia-amfiteatru.ro,International Journal for Public Management and Politic Development,http://amphitheatreconferences.gm.ro/about-us/,RePEc:amf:amffamf,Fundatia Amfiteatru,ReDIF-Series 1.0
RePEc:ami:journl,cristina.tartavulea@cig.ase.ro,Journal of Accounting and Management Information Systems,,,"Faculty of Accounting and Management Information Systems, The Bucharest University of Economic Studies",ReDIF-Series 1.0
RePEc:amr:wpaper,mcollan@abo.fi,Working Papers,http://iamsr.abo.fi/,,"IAMSR, ≈bo Akademi",ReDIF-Series 1.0
RePEc:ams:ndfwpp,c.g.h.diks@uva.nl,CeNDEF Working Papers,,,,ReDIF-Series 1.0
RePEc:amu:wpaper,econ@american.edu,Working Papers,http://www.american.edu/cas/economics/,RePEc:amu:degraus,"American University, Department of Economics",ReDIF-Series 1.0
RePEc:ana:journl,unaltongur@akdeniz.edu.tr,World Journal of Applied Economics,http://www.econworld.org,RePEc:edi:ewanatr,WERI-World Economic Research Institute,ReDIF-Series 1.0
RePEc:anc:wgretl,maurizio.mariotti@univpm.it,gretl working papers,http://www.dises.univpm.it/,RePEc:edi:deancit,"Universita' Politecnica delle Marche (I), Dipartimento di Scienze Economiche e Sociali",ReDIF-Series 1.0
RePEc:and:journl,sbd@anadolu.edu.tr,Anadolu University Journal of Social Sciences,,RePEc:edi:iianatr,Anadolu University,ReDIF-Series 1.0
RePEc:anm:alpnmr,editor@alphanumericjournal.com,Alphanumeric Journal,http://www.alphanumericjournal.com/,RePEc:anm,Bahadir Fatih Yildirim,ReDIF-Series 1.0
RePEc:ann:wpaper,lewp@uni.lodz.pl,Lodz Economics Working Papers,http://www.eksoc.uni.lodz.pl/en/,RePEc:edi:welodpl,"University of Lodz, Faculty of Economics and Sociology",ReDIF-Series 1.0
RePEc:anp:econom,webmaster@anpec.org.br,Economia,http://www.anpec.org.br,RePEc:edi:anpecea,ANPEC - AssociaÁ„o Nacional dos Centros de PÛsgraduaÁ„o em Economia [Brazilian Association of Graduate Programs in Economics],ReDIF-Series 1.0
RePEc:anr:reseco,ai@annualreviews.org,Annual Review of Resource Economics,http://www.annualreviews.org,,Annual Reviews,ReDIF-Series 1.0
RePEc:ant:ecsots,joeri.nys@uantwerpen.be,Economic and Social Journal (Economisch en Sociaal Tijdschrift),https://www.uantwerp.be/en/faculties/applied-economic-sciences/,RePEc:edi:ftufsbe,"University of Antwerp, Faculty of Applied Economics",ReDIF-Series 1.0
RePEc:anu:eenwps,pezzey@cres.anu.edu.au,Economics and Environment Network Working Papers,http://een.anu.edu.au/,,"Australian National University, Economics and Environment Network",ReDIF-Series 1.0
RePEc:aoj:ijobmd,info@asianonlinejournals.com,International Journal of Business Management Dynamics,http://www.asianonlinejournals.com/index.php/MD,,Asian Online Journal Publishing Group,ReDIF-Series 1.0
RePEc:apc:wpaper,nramron@gmail.com,Working Papers,http://perueconomics.org/,RePEc:edi:peruvea,Peruvian Economic Association,ReDIF-Series 1.0
RePEc:api:apiwps,api@api.org.kw,API-Working Paper Series,http://www.arab-api.org/index.html,RePEc:edi:apiiikw,"Arab Planning Institute - Kuwait, Information Center",ReDIF-Series 1.0
RePEc:apl:wpaper,morganoa@appstate.edu,Working Papers,,RePEc:edi:deappus,"Department of Economics, Appalachian State University",ReDIF-Series 1.0
,,,,,,
RePEc:aps:wpaper,contact@apir.or.jp,APIR Discussion Paper Series,http://www.apir.or.jp/,RePEc:edi:apirojp,Asia Pacific Institute of Research,ReDIF-Series 1.0
RePEc:apt:jouiss,drogue@supagro.inra.fr,INRA Sciences Sociales,http://www.sae2.inra.fr/Departement-Recherches/Recherches-departement-SAE2/Inra-Sciences-Sociales/%28key%29/,repec:edi:inrapfr,INRA Department of Economics,ReDIF-Series 1.0
RePEc:apu:wpaper,rgrateau@grignon.inra.fr,Working Papers,http://www4.versailles-grignon.inra.fr/economie_publique_eng,RePEc:edi:epinrfr,"INRA, Economie Publique",ReDIF-Series 1.0
RePEc:aqr:wpaper,aqr@ub.edu,AQR Working Papers,http://www.ub.edu/aqr/,RePEc:edi:aqrubes,"University of Barcelona, Regional Quantitative Analysis Group",ReDIF-Series 1.0
RePEc:arc:wpaper,Dietmar.Bastian@uni-jena.de,Archipelago Studies,http://www.uni-jena.de/Prof__Dr__Ulrich_Hilpert.html,,"Chair of Comparative Government of the Friedrich-Schiller-University Jena, Germany",ReDIF-Series 1.0
RePEc:are:cudare,repec@berkeley.edu,CUDARE Working Paper Series,http://areweb.berkeley.edu/library/Main/CUDARE,RePEc:edi:dabrkus,"University of California at Berkeley, Department of Agricultural",ReDIF-Series 1.0
RePEc:ari:wpaper,caris@sussex.ac.uk,CARIS Working Papers,http://www.sussex.ac.uk/Units/caris/,RePEc:edi:casusuk,"Centre for the Analysis of Regional Integration at Sussex, University of Sussex",ReDIF-Series 1.0
RePEc:arm:wpaper,tlm@sandiego.edu,SADO - Working Papers,https://smallarmsdata.org/,RePEc:edi:sado,Small Arms Data Observatory,ReDIF-Series 1.0
RePEc:arp:ajcear,info@arpgweb.com,Academic Journal of Computer and Electronics,http://arpgweb.com/?ic=journal&journal=19&info=aims,,Academic Research Publishing Group,ReDIF-Series 1.0
RePEc:aru:wpaper,ecandia@aru.org.bo,Working Papers,http://www.aru.org.bo/,RePEc:aru:dearupa,FundaciÛn Aru,ReDIF-Series 1.0
RePEc:arx:papers,help@arxiv.org,Papers,http://arxiv.org/,,arXiv.org,ReDIF-Series 1.0
RePEc:arz:wpaper,interface.services@architexturez.net,ERES,https://eres.architexturez.net,RePEc:edi:eressea,European Real Estate Society (ERES),ReDIF-Series 1.0
,,,,,,
RePEc:asb:wpaper,e.capatina@unsw.edu.au,Working Papers,http://www.cepar.edu.au,RePEc:edi:ceparau,"ARC Centre of Excellence in Population Ageing Research (CEPAR), Australian School of Business, University of New South Wales",ReDIF-Series 1.0
RePEc:asc:ecobks,oberst@ascleiden.nl,ASC Economic Books,http://www.ascleiden.nl/,RePEc:edi:asclenl,"African Studies Centre (ASC), Leiden, The Netherlands",ReDIF-Series 1.0
RePEc:asd:wpaper,adbpub@adb.org,ADB Reports,http://www.adb.org/publications,RePEc:edi:asdevph,Asian Development Bank (ADB),ReDIF-Series 1.0
RePEc:ase:journl,mihai.orzan@ase.ro,Revista de Marketing Online (Journal of Online Marketing),http://www.edumark.ase.ro,RePEc:ase,"Bucharest University of Economic Studies, School of Marketing",ReDIF-Series 1.0
RePEc:asg:wpaper,nick.burkhart@asu.edu,GeoDa Center Working Papers,,RePEc:edi:gcasuus,GeoDa Center for Geospatial Analysis and Computation,ReDIF-Series 1.0
RePEc:asi:adprev,editor.aess@yahoo.com,Asian Development Policy Review,http://www.aessweb.com/,,Asian Economic and Social Society,ReDIF-Series 1.0
RePEc:asr:journl,catalin.sararu@tribunajuridica.eu,Juridical Tribune (Tribuna Juridica),http://drept.ase.ro/,RePEc:edi:aseeero,"Bucharest Academy of Economic Studies, Law Department",ReDIF-Series 1.0
RePEc:ast:wpaper,astril@uniroma3.it,Working Papers,http://host.uniroma3.it/associazioni/astril,,ASTRIL - Associazione Studi e Ricerche Interdisciplinari sul Lavoro,ReDIF-Series 1.0
RePEc:asu:chapte,shsalik@asu.edu,Book Chapters,http://repec.wpcarey.asu.edu/RePEc/asu/,RePEc:edi:deasuus,"Department of Economics, W. P. Carey School of Business, Arizona State University",ReDIF-Series 1.0
RePEc:ath:journl,contact@olteanucosmin.ro,Internal Auditing and Risk Management,,RePEc:edi:feathro,Athenaeum University of Bucharest,ReDIF-Series 1.0
RePEc:att:wimass,asumwalt@wisc.edu,Working papers,,,Wisconsin Madison - Social Systems,ReDIF-Series 1.0
RePEc:aua:wpaper,kremmydas@aua.gr,Working Papers,http://www.aoa.aua.gr,RePEc:edi:daauagr,"Agricultural University of Athens, Department Of Agricultural Economics",ReDIF-Series 1.0
RePEc:aub:uhewps,Jesus.Ramos@uab.es,UHE Working  papers,http://www.h-economica.uab.es,RePEc:edi:heuabes,"Universitat AutÚnoma de Barcelona, Departament d'Economia i HistÚria EconÚmica, Unitat d'HistÚria EconÚmica",ReDIF-Series 1.0
RePEc:auc:wpaper,digital.development@auckland.ac.nz,Working Papers,http://www.econ.auckland.ac.nz/,RePEc:edi:deaucnz,"Department of Economics, The University of Auckland",ReDIF-Series 1.0
RePEc:aud:audfin,valentin.dumitru@soft-expert.info,The Audit Financiar journal,http://revista.cafr.ro/,RePEc:edi:cafrro,Chamber of Financial Auditors of Romania,ReDIF-Series 1.0
RePEc:aue:wpaper,eka@aueb.gr,DEOS Working Papers,http://deos.aueb.gr/,RePEc:edi:diauegr,Athens University of Economics and Business,ReDIF-Series 1.0
RePEc:aug:augsbe,albrecht.bossert@wiwi.uni-augsburg.de,Discussion Paper Series,http://www.wiwi.uni-augsburg.de/vwl/institut,RePEc:edi:ivaugde,"Universitaet Augsburg, Institute for Economics",ReDIF-Series 1.0
RePEc:aut:wpaper,gail.pacheco@aut.ac.nz,Working Papers,http://www.aut.ac.nz/business/working-paper-series,RePEc:edi:fbautnz,"Auckland University of Technology, Department of Economics",ReDIF-Series 1.0
RePEc:auu:wpaper,drew.treasure@anu.edu.au,GDSC Working Papers,https://sites.google.com/site/institutegds,RePEc:edi:eganuau,Institute of Global Dynamic Systems,ReDIF-Series 1.0
RePEc:ave:wpaper,mfdias@ua.pt,Working Papers de Economia (Economics Working Papers),,RePEc:edi:deavept,"Departamento de Economia, Gest„o e Engenharia Industrial, Universidade de Aveiro",ReDIF-Series 1.0
RePEc:avm:wpaper,joseph.burke@avemaria.edu,Working Papers,http://www.avemaria.edu/economics,RePEc:edi:deaveus,"Ave Maria University, Department of Economics",ReDIF-Series 1.0
RePEc:awi:wpaper,sekretariat.wt2@awi.uni-heidelberg.de,Working Papers,http://www.awi.uni-heidelberg.de/,RePEc:edi:awheide,"University of Heidelberg, Department of Economics",ReDIF-Series 1.0
RePEc:ays:ispwps,paulbenson@gsu.edu,"International Center for Public Policy Working Paper Series, at AYSPS, GSU",http://aysps.gsu.edu/isp/index.html,RePEc:edi:ispgsu,"International Center for Public Policy, Andrew Young School of Policy Studies,",ReDIF-Series 1.0
RePEc:aze:wpaper,mail@cbar.az,Working Papers,http://www.cbar.az/pages/publications-researches/working-paper-series/,RePEc:edi:nbagvaz,Central Bank of Azerbaijan Republic,ReDIF-Series 1.0
RePEc:bac:fsecub,bogdan.nichifor@ub.ro,Studies and Scientific Researches. Economics Edition,,RePEc:edi:fseubro,"""Vasile Alecsandri"" University of Bacau, Faculty of Economic Sciences",ReDIF-Series 1.0
RePEc:bae:rbrief,betam@bahcesehir.edu.tr,Research Briefs,http://www.betam.bahcesehir.edu.tr,RePEc:edi:betamtr,"Bahcesehir University, Betam",ReDIF-Series 1.0
RePEc:baf:cbafwp,bafficarefin@unibocconi.it,BAFFI CAREFIN Working Papers,http://www.bafficarefin.unibocconi.it,RePEc:edi:cbbocit,"BAFFI CAREFIN, Centre for Applied Research on International Markets Banking Finance and Regulation, Universita' Bocconi, Milano, Italy",ReDIF-Series 1.0
RePEc:bag:deiawp,deiagrawps@agrsci.unibo.it,DEIAgra Working Papers,http://www.agrsci.unibo.it/deiagra/,RePEc:edi:eibolit,"Alma Mater Studiorum University of Bologna, Department of Agricultural Economics and Engineering",ReDIF-Series 1.0
RePEc:bai:series,girolamo.sgherza@uniba.it,SERIES,http://www.uniba.it/ricerca/dipartimenti/dse,RePEc:edi:debarit,"Dipartimento di Economia e Finanza - Universit‡ degli Studi di Bari ""Aldo Moro""",ReDIF-Series 1.0
RePEc:bak:wpaper,mguillen@ub.edu,Working Papers,http://www.ub.edu/riskcenter/,RePEc:edi:rskubes,"Universitat de Barcelona, UB Riskcenter",ReDIF-Series 1.0
RePEc:bam:wpaper,disegnam@bournemouth.ac.uk,BAFES Working Papers,https://www1.bournemouth.ac.uk/discover/faculties/faculty-management/our-departments/bournemouth-university-business-school/department-accounting-finance-economics,RePEc:edi:bsbouuk,"Department of Accounting, Finance & Economic, Bournemouth University",ReDIF-Series 1.0
RePEc:ban:bancar,f.tani@abi.it,BANCARIA,http://www.bancaria.it,,Bancaria Editrice,ReDIF-Series 1.0
RePEc:bap:hve016,book@bapress.ca,Historic Variety on the Earth,http://www.bapress.ca,,"Better Advances Press, Canada",ReDIF-Series 1.0
RePEc:bar:bedcje,ere.eco@ub.edu,Working Papers in Economics,http://www.ere.ub.es,RePEc:edi:feubaes,Universitat de Barcelona. Espai de Recerca en Economia,ReDIF-Series 1.0
RePEc:BAS:ecchap,econ.studies@iki.bas.bg,ERI-BAS Chapters,http://www.iki.bas.bg,RePEc:edi:ikbasbg,Bulgarian Academy of Sciences - Economic Research Institute,ReDIF-Series 1.0
RePEc:bav:wpaper,dominique.lemmermann@fau.de,Working Papers,http://www.bgpe.de/,RePEc:edi:vierlde,Bavarian Graduate Program in Economics (BGPE),ReDIF-Series 1.0
RePEc:bay:birebs,gernot.deinzer@bibliothek.uni-regensburg.de,Beitr√§ge zur Immobilienwirtschaft,http://www.uni-regensburg.de/wirtschaftswissenschaften/fakultaet,RePEc:edi:wfregde,"University of Regensburg, Department of Economics",ReDIF-Series 1.0
RePEc:bbe:wpaper,d.empresa@uab.cat,Working Papers,http://158.109.224.4/webeco/plaes/RePEc/bbe/,,"Departament Empresa, Universitat Aut√≤noma de Barcelona",ReDIF-Series 1.0
RePEc:bbk:bbkcam,n.foster@bbk.ac.uk,BCAM Working Papers,http://www.ems.bbk.ac.uk/research/BirkCAM,,Birkbeck Centre for Applied Macroeconomics,ReDIF-Series 1.0
RePEc:bbn:wpaper,cornelia.pop@tbs.ubbcluj.ro,Working Papers,http://www.tbs.ubbcluj.ro,RePEc:edi:fbubbro,"Babes-Bolyai University, Faculty of Business",ReDIF-Series 1.0
RePEc:bbr:workpa,swee-hoon.chuah@nottingham.ac.uk,ICBBR Working Papers,,RePEc:edi:smnotuk,International Centre for Behavioural Business Research,ReDIF-Series 1.0
RePEc:bbu:wpaper,monica.zaharie@econ.ubbcluj.ro,Description: Managerial Challenges of the Contemporary Society,http://econ.ubbcluj.ro,,"Faculty of Economics and Business Administration, Babes-Bolyai University",ReDIF-Series 1.0
RePEc:bbv:wpaper,oscar.delaspenas@bbva.com,Working Papers,https://www.bbvaresearch.com/,RePEc:edi:ebbvaes,"BBVA Bank, Economic Research Department",ReDIF-Series 1.0
RePEc:bbz:fcpwps,adriana@fucape.br,Fucape Working Papers,http://www.fucape.br,RePEc:edi:fucapbr,Fucape Business School,ReDIF-Series 1.0
RePEc:bca:bocsan,website@bank-banque-canada.ca,Staff Analytical Notes,http://www.bank-banque-canada.ca/,,Bank of Canada,ReDIF-Series 1.0
RePEc:bcb:wpaper,francisco-marcos.figueiredo@bcb.gov.br,Working Papers Series,http://www.bcb.gov.br/?english,,"Central Bank of Brazil, Research Department",ReDIF-Series 1.0
RePEc:bcc:wpaper,sergio.faria@bc3research.org,Working Papers,http://www.bc3research.org/,RePEc:bcc:bcccces,BC3,ReDIF-Series 1.0
RePEc:bcl:bclwop,thomas.mathae@bcl.lu,BCL working papers,http://www.bcl.lu/,,Central Bank of Luxembourg,ReDIF-Series 1.0
RePEc:bcr:ensayo,fgrillo@bcra.gob.ar,Ensayos EconÛmicos,http://www.bcra.gov.ar,RePEc:edi:bcraaar,"Central Bank of Argentina, Economic Research Department",ReDIF-Series 1.0
RePEc:bcu:iefewp,lia.bertoglio@unibocconi.it,IEFE Working Papers,http://www.iefe.unibocconi.it/,RePEc:edi:eabocit,"IEFE, Center for Research on Energy and Environmental Economics and Policy, Universita' Bocconi, Milano, Italy",ReDIF-Series 1.0
RePEc:bdd:journl,zkovanci@bddk.org.tr,Journal of BRSA Banking and Financial Markets,http://www.bddk.org.tr/WebSitesi/turkce/Raporlar/BDDK_Dergi/BDDK_Dergi.aspx,RePEc:edi:bddgvtr,Banking Regulation and Supervision Agency,ReDIF-Series 1.0
RePEc:bde:sfware,edicionydifusion@bde.es,Statistical and Econometrics Software,http://www.bde.es/bde/en/secciones/servicios/Profesionales/Programas_estadi/Programas_estad_d9fa7f3710fd821.html,RePEc:edi:bdegves,Statistical and Econometrics Software Homepage,ReDIF-Series 1.0
RePEc:bdi:workqs,angela.barbaro@bancaditalia.it,Quaderni di storia economica (Economic History Working Papers),http://www.bancaditalia.it,RePEc:edi:bdigvit,"Bank of Italy, Economic Research and International Relations Area",ReDIF-Series 1.0
RePEc:bdm:wpaper,webmaster@banxico.org.mx,Working Papers,http://www.banxico.org.mx,RePEc:edi:bangvmx,Banco de MÈxico,ReDIF-Series 1.0
RePEc:bdp:wpaper,bdpemste@hu-berlin.de,Working Papers,http://repec.bdpems.de/repec/bdp/wpaper/,RePEc:edi:bdpemde,Berlin Doctoral Program in Economics and Management Science (BDPEMS),ReDIF-Series 1.0
RePEc:bdr:cheedt,cbahosol@banrep.gov.co,Cuadernos de Historia EconÛmica y Empresarial,http://www.banrep.gov.co/es/publicaciones-buscador/2435,RePEc:edi:brcgvco,Banco de la Republica de Colombia,ReDIF-Series 1.0
RePEc:bea:wpaper,Bryn.Whitmire@bea.gov,BEA Working Papers,https://www.bea.gov/research/index.htm,RePEc:edi:beagvus,Bureau of Economic Analysis,ReDIF-Series 1.0
