handle,name,url,status
alu,"Faculty of Sciences, ""1 Decembrie 1918"" University, Alba Iulia",ftp://193.231.35.123/RePEc/alu/,OK
ama,Management,http://www.visnyk.amu.edu.ua/repec/ama/,OK
ame,"Universiteit van Amsterdam, UvA-Econometrics",http://www1.fee.uva.nl/uva-econometrics/RePEc/ame,OK
amf,Fundatia Amfiteatru,http://repec.turismulresponsabil.ro/RePEc/amf/,OK
ami,"Faculty of Accounting and Management Information Systems, The Bucharest University of Economic Studies",http://www.cig.ase.ro/RePEc/ami/,OK
amr,"IAMSR, ≈bo Akademi",http://iamsr.abo.fi/repec/amr/,OK
ams,"Universiteit van Amsterdam, Center for Nonlinear Dynamics in Economics and Finance",http://www1.fee.uva.nl/RePEc/ams/,OK
amu,"Department of Economics, American University",http://w.american.edu/cas/economics/repec/amu/,OK
ana,WERI-World Economic Research Institute,http://www.econworld.org/RePEc/ana/,OK
anc,"Dipartimento di Scienze Economiche e Sociali, Universita' Politecnica delle Marche (I)",http://docs.dises.univpm.it/RePEc/anc,OK
and,Anadolu University Journal of Social Sciences,ftp://ftp.sbd.anadolu.edu.tr/repec/and/,OK
anm,Alphanumeric Journal,http://www.alphanumericjournal.com/RePEc/anm/,OK
ann,"Faculty of Economics and Sociology, University of Lodz",http://www.annalesonline.uni.lodz.pl/RePEc/ann/,OK
anp,Arquivo da ANPEC - AssociaÁ„o Nacional de Centros de PÛs-graduaÁ„o em Economia,http://www.anpec.org.br/RePEc/anp,OK
anr,Annual Reviews,http://www.armeta.org/RePEc/anr/,OK
ant,"Faculty of Applied Economics, University of Antwerp",http://uahost.uantwerpen.be/repec/ant/,OK
aoj,Asian Online Journal Publishing Group,http://www.asianonlinejournals.com/working/RePEc/aoj/,OK
apc,Peruvian Economic Association,http://perueconomics.org/repec/apc/,OK
api,Arab Planning Institute-Kuwait: Working Paper Series,http://www.arab-api.org/RePEc/api,Page Not Found
apl,"Department of Economics, Appalachian State University",http://econ.appstate.edu/RePEc/apl/,OK
app,Asia-Pacific Policy Center,http://www.appc-ph.com/RePEc/app/,Page Not Found
aps,Asia Pacific Institute of Research,http://www.apir.or.jp/RePEc/aps/,
apt,INRA Sciences Sociales,http://www1.montpellier.inra.fr/transfert_ext/RePEc/apt/,OK
apu,"INRA, Economie Publique",http://www.umr-economie-publique.fr/RePEc/apu/,OK
aqr,"Regional Quantitative Analysis Group, University of Barcelona",http://www.ub.edu/aqr/RePEc/aqr/,OK
arc,"Chair of Comparative Government of the Friedrich-Schiller-University Jena, Germany",http://hades.polvr.uni-jena.de/RePEc/arc/,Connectoin Refused
are,"University of California at Berkeley, Department of Agricultural and Resource Economics and Policy",http://areweb.berkeley.edu/RePEc/are/,
ari,"Centre for the Analysis of Regional Integration at Sussex, University of Sussex",ftp://ftp.sussex.ac.uk/pub/Units/RePEc/ari/,OK
arm,Small Arms Data Observatory,https://www.smallarmsdata.org/RePEc/arm/,Connectoin Refused
arp,Academic Research Publishing Group,http://www.arpgweb.com/working/RePEc/arp/,OK
aru,FundaciÛn Aru,http://www.aru.org.bo/REPEC/aru/,OK
arx,arXiv.org,http://export.arxiv.org/repec/,OK
arz,ERES,https://architexturez.in/+/services/repec/arz/,OK
asa,"Andrei Saguna University of Constanta, Romania, Faculty of Communication and Political Sciences",http://www.andreisaguna.ro/RePEc/asa/,Page Not Found
asb,"ARC Centre of Excellence in Population Ageing Research (CEPAR), Australian School of Business, University of New South Wales",http://cepar.edu.au/repec/asb/,Page Not Found
asc,"African Studies Centre (ASC), Leiden, The Netherlands",http://www.asclibrary.nl/RePEc/asc/,OK
asd,Asian Development Bank (ADB),ftp://202.4.7.230/RePEc/asd/,Connectoin Refused
ase,"School of Marketing, Bucharest University of Economic Studies",http://www.edumark.ase.ro/RePEc/ase/,OK
asg,GeoDa Center for Geospatial Analysis and Computation,http://geodacenter.asu.edu/RePEc/asg/,OK
asi,Asian Economic and Social Society,http://www.aessweb.com/working/RePEc/asi/,OK
asr,Law Department of the Bucharest Academy of Economic Studies,http://www.tribunajuridica.eu/RePEc/asr,OK
ast,ASTRIL - Associazione Studi e Ricerche Interdisciplinari sul Lavoro,http://host.uniroma3.it/associazioni/astril/db/repec/ast/,OK
asu,"W. P. Carey School of Business, Arizona State University",ftp://ideas.repec.org/pub/RePEc/frozen/asu,OK
ath,Athenaeum University of Bucharest,http://aimr.univath.ro/RePEc/ath/,OK
att,Attent: Research Memoranda,ftp://ideas.repec.org/pub/RePEc/att/,OK
aua,"Agricultural University Of Athens, Department Of Agricultural Economics",http://aoatools.aua.gr/RePEc/aua/,OK
aub,Unitat de Fonaments de l'An‡lisi EconÚmica (UAB) and Institut d'An‡lisi EconÚmica (CSIC),http://pareto.uab.es/wp/RePEc/aub,OK
auc,"Department of Economics, The University of Auckland",https://researchspace.auckland.ac.nz/files/repec/auc/,OK
aud,Chamber of Financial Auditors of Romania,http://revista.cafr.ro/BDI/RePec,OK
aue,"Department of International and European Economic Studies (D.I.E.E.S.), AUEB",http://wpa.deos.aueb.gr/RePEc/aue/,OK
aug,Economics Working Paper Archive,http://www.wiwi.uni-augsburg.de/vwl/institut/RePEc/aug,OK
aut,"Department of Economics, Auckland University of Technology",ftp://repec.aut.ac.nz/RePEc/aut/,OK
auu,"Research School of Economics, Australian National University",https://www.cbe.anu.edu.au/RePEc/auu/index.htm,OK
ave,"Departamento de Economia, Gest„o e Engenharia Industrial, Universidade de Aveiro",http://repec.web.ua.pt/RePEc/ave/,
avm,"Department of Economics, Ave Maria University",http://mysite.avemaria.edu/Repec/avm/,
awi,"Department of Economics, University of Heidelberg",http://archiv.ub.uni-heidelberg.de/RePEc/awi,OK
ays,"International Center for Public Policy Working Paper Series at AYSPS, GSU",http://ayspsrd.dyn.gsu.edu/ays/,OK
aze,Central Bank of Azerbaijan Republic,http://www.cbar.az/RePEc/aze/,OK
bac,"""Vasile Alecsandri"" University of Bacau, Faculty of Economic Sciences, Romania",http://sceco.ub.ro/DATABASE/repec/,OK
bae,"Center for Economic and Social Research, Bahcesehir University",http://web.bahcesehir.edu.tr/zumrut_imamoglu/RePEc/bae/,Connectoin Refused
baf,BAFFI CAREFIN Working Papers Archive,ftp://ftp.unibocconi.it/pub/RePEc/baf/,OK
bag,"Department of Agricultural Economics and Engineering, Alma Mater Studiorum University of Bologna",http://www.agrsci.unibo.it/deiagra/RePEc/bag/,Connectoin Refused
bai,"Economics Research Papers Archive at DSEMM Dipartimento di Economia e Finanza, Universit‡ degli Studi di Bari",http://www.seriesworkingpapers.it/RePEc/bai/,OK
bak,"UB Riskcenter, Universitat de Barcelona",http://www.ub.edu/rfa/RePEc/bak/,OK
bam,"AFE Department, Bournemouth University",https://repec.bmth.ac.uk/bam/,Connectoin Refused
ban,Bancaria Editrice,http://www.bancaria.it/RePEc/ban/,OK
bap,"Better Advances Press, Academic Research Center of Canada",http://www.bapress.ca/RePEc/bap/,OK
bar,Universitat de Barcelona,http://www.ere.ub.es/dtreball/repec,Connectoin Refused
bas,Bulgarian Academy of Sciences - Economic Research Institute,https://www.iki.bas.bg/RePEc/BAS/,OK
bav,Bavarian Graduate Program in Economics (BGPE),http://www.bgpe.de/RePEc/bav/,OK
bay,"Department of Economics, University of Regensburg",https://epub.uni-regensburg.de/RePEc/bay/,OK
bbe,"Departament Empresa, Universitat AutÚnoma de Barcelona",http://158.109.224.4/webeco/plaes/empresa/RePEc/bbe/,Connectoin Refused
bbk,Birkbeck Department of Economics & Statistics Working Papers,http://www.ems.bbk.ac.uk/RePEc/bbk/,OK
bbn,"Faculty of Business, Babes-Bolyai University",http://tbs.ubbcluj.ro/RePEc/bbn/,OK
bbr,"International Centre for Behavioural Business Research, Nottingham University Business School",http://www.nottingham.ac.uk/~lizecon/RePEc/bbr/,OK
bbu,"The Faculty of Economics and Business Administration, Babes-Bolyai University",http://conference.ubbcluj.ro/mccs/RePEc/bbu/,Page Not Found
bbv,"Economic Research Department, BBVA Bank",https://www.bbvaresearch.com/wp-content/rdf/,OK
bbz,"Fucape Business School, Brazilian Business Review",http://www.bbronline.com.br/RePEc/bbz/,Page Not Found
bca,Bank of Canada,http://repec.bankofcanada-labs.ca/repec/bca,OK
bcb,"Central Bank of Brazil, Research Department",http://www.bcb.gov.br/pec/wps/RePEc/bcb/,OK
bcc,BC3,http://www.bc3research.org/RePEc/bcc/,
bcl,"Economics, monetary and financial working papers of the BCL",http://www.bcl.lu/RePEc/bcl,OK
bcr,Banco Central de la Republica Argentina (Central Bank of Argentina),http://www.bcra.gov.ar/repec/bcr/,OK
bcu,IEFE Working Papers Archive,ftp://ftp.unibocconi.it/pub/RePEc/bcu/,OK
bdd,Journal of BRSA Banking and Financial Markets,http://www.bddk.org.tr/RePEc/bdd,OK
bde,Banco de Espa√±a,http://repec.bde.es/bde/,OK
bdi,"Bank of Italy, Economic Research and International Relations Area",http://www.bancaditalia.it/RePEc/bdi/,OK
bdm,Banco de MÈxico,http://www.banxico.org.mx/RePEc/bdm/,OK
bdp,Berlin Doctoral Program in Economics and Management Science,http://repec.bdpems.de/repec/bdp/,OK
bdr,Banco de la Rep˙blica,http://www.banrep.org/docum/ftp/RePEc/bdr,OK
bea,Bureau of Economic Analysis,https://www.bea.gov/RePEc/bea/,OK
beb,BELIS Working Paper Series,http://repeck.bilgi.edu.tr/RePEc/beb/,OK
bec,"Institute of Management Sciences, Peshawar, Pakistan",http://imsciencescenters.edu.pk/ber/RePEc/bec/,OK
bed,"Faculty of Philology and Education , Beder University",http://www.bjes.beder.edu.al/RePEc/bed/,Connectoin Refused
bef,Economics Working Paper Archive of the Free University of Berlin,http://userpage.fu-berlin.de/lsbester/RePEc/bef/,OK
beh,Journal of Behavioral Economics for Policy (SABE),http://sabeconomics.org/journal/RePEc/beh/,OK
bei,Bremen Energy Research,http://b-e-r.user.jacobs-university.de/RePEc/bei/,OK
bej,Brazilian Electronic Journal of Economics,ftp://ideas.repec.org/pub/RePEc/bej/,OK
bel,Belarusian Economic Research and Outreach Center (BEROC),http://u0126367.cp.regruhosting.ru/RePEc/bel/,OK
beo,"Faculty of Economics, University of Belgrade",http://repec.ekof.bg.ac.rs/RePEc/beo/,OK
bep,Berkeley Electronic Press,ftp://ftpeagle.bc.edu/pub/user/baum/RePEc/bep,OK
ber,RePEc archive at Berlecon Research,http://www.berlecon.de/repec/ber/,Page Not Found
bes,Journal of Business & Economic Statistics,ftp://ftpeagle.bc.edu/pub/user/baum/RePEc/bes,OK
bfe,Working Papers BFI,ftp://ideas.repec.org/pub/RePEc/bfe,OK
bfi,Becker Friedman Institute for Research In Economics,http://econresearch.uchicago.edu/RePEc/bfi/,OK
bfr,Banque de France,http://www.bfrecherche.fr/working/RePEc/bfr/,OK
bge,Barcelona Graduate School of Economics (Barcelona GSE),ftp://repecftp.barcelonagse.eu/RePEc/bge/,OK
bgu,"Department of Economics, Ben-Gurion University of the Negev",ftp://bgu.ac.il/pub/econ/RePEc/bgu,OK
bic,Baltic International Centre for Economic Policy Studies,http://www.repec.biceps.org/RePEc/bic/,OK
bie,"Center for Mathematical Economics (IMW), Bielefeld University",https://pub.uni-bielefeld.de/RePEc/bie/,OK
bil,"Department of Economics, Bilkent University",http://econ.bilkent.edu.tr/RePEc/bil/,OK
bin,The Brookings Institution,http://repec.brookings.edu/RePEc/bin/,OK
bir,"Department of Economics, University of Birmingham",ftp://ftp.bham.ac.uk/pub/RePEc/bir/,OK
bis,Bank for International Settlements (BIS),http://www.bis.org/RePEc/bis/index.htm,OK
bit,De Gruyter Open,http://repec.editool.com/RePEc/bit/,OK
biu,"Department of Economics, Bar-Ilan University",http://www.biu.ac.il/soc/ec/RePEc/biu/,OK
biw,"Center for Energy and Environmental Policy Research (CEEP), Beijing Institute of Technology",http://ceep.bit.edu.cn/pub/RePEc/biw/,OK
bkr,"Bank of Russia working papers, books and chapters",http://www.cbr.ru/RePEc/bkr/,OK
bku,Banco Central del Uruguay,http://www.bvrie.gub.uy/local/File/doctrab/RePEc/bku/,OK
bla,Blackwell Publishers,ftp://ftpeagle.bc.edu/pub/user/baum/RePEc/bla,OK
blg,"Lucian Blaga University of Sibiu, Faculty of Economic Sciences",http://eccsf.ulbsibiu.ro/RePEc/blg/,OK
bli,"The Center for Financial Studies (CEFIS), Istanbul Bilgi University",https://cefis.bilgi.edu.tr/RePEc/bli/,OK
bls,U.S. Bureau of Labor Statistics,https://www.bls.gov/osmr/repec/bls,OK
blv,Banco Central de Bolivia,https://www.bcb.gob.bo/RePEc/blv/,OK
bme,"Realising Transition Pathways, University of Bath",http://opus.bath.ac.uk/RePEc/BME/,OK
bmo,Econometrics Letters,http://repec.econometricsletters.com/bmo/,OK
bng,"Bangor Business School, Prifysgol Bangor University (Cymru / Wales)",http://repec.bangor.ac.uk/,OK
bno,Working Paper archive from Norges Bank,http://www.norges-bank.no/globalassets/upload/repec/bno/index.html,OK
bnr,Bangladesh Development Research Center,http://www.bangladeshstudies.org/RePEc/bnr/,OK
bnu,Balanced Nature Using,http://www.natureus.org.ua/repec/bnu/,OK
bny,"Department of Economics, BI Norwegian Business School",http://web2.bi.no/RePEc/bny/,OK
boc,Boston College Department of Economics,ftp://ftpeagle.bc.edu/pub/user/baum/RePEc/boc,OK
boe,Working Papers Archive  of the Bank of England,ftp://input.repec.org/pub/RePEc/ris/boe/,OK
bof,Bank of Finland's institutional repository,https://helda.helsinki.fi/bof-repec/,OK
bog,Bank of Greece,http://www.bankofgreece.gr/BogREPEC/bog/index.htm,OK
boh,"University of South Bohemia in Ceske Budejovice, Faculty of Economics",http://repec.ef.jcu.cz/RePEc/boh/,OK
boj,Bank of Japan,http://www3.boj.or.jp/RePEc/boj/,OK
bol,"Dipartimento Scienze Economiche, Universit‡ di Bologna",http://biblioteca.dse.unibo.it/biblioteca/RePEc/bol/,OK
bom,"Archive of the Institute of Development Research and Development Policy, Ruhr University of Bochum",http://www.development-research.org/RePEc/bom/,OK
bon,"RePEc archive at the University of Bonn, Germany",http://www.wiwi.uni-bonn.de/bgsepapers,OK
bor,Research and Business Development Department of Borsa Istanbul,ftp://185.76.201.43/bor/,OK
bos,"Department of Economics, Boston University",http://www.bu.edu/econ/RePEc/bos/,OK
bot,Department of Statistics University of Bologna,http://www2.stat.unibo.it/repec/bot,OK
bou,"Department of Economics, Bogazici University",http://www.econ.boun.edu.tr/public_html/RePEc/bou/,OK
boz,"Department of Economics, Bogazici University",http://www.econ.boun.edu.tr/public_html/RePEc/boz/,OK
bpi,BPI ‚Äî Reviste »ôtiin»õifice,http://www.revistapadurilor.ro/RePEc/bpi/,OK
bpj,De Gruyter,http://repec.editool.com/RePEc/bpj/,OK
bra,"Faculty of Computer Science, Alexandru Ioan Cuza University of Iasi, Romania",http://www.edusoft.ro/brand/RePEc/bra/,OK
brc,"Contemporary Economy Journal, ìConstantin Br‚ncoveanuî University",http://www.strategiimanageriale.ro/RePEc/brc/,OK
brd,"Department of Economics and International Business School, Brandeis University",http://www.brandeis.edu/economics/RePEc/brd/,OK
bre,Bruegel,http://www.bruegel.org/RePEc/bre/,OK
brf,Brazilian Society of Finance,http://sbfin.org.br/RePEc/brf/,OK
brg,"Department of Management, Economics and Quantitative Methods, University of Bergamo",http://dinamico2.unibg.it/RePEc/brg/,OK
brh,"Department of Department of Economics and Technology Management, University of Bergamo",http://dinamico2.unibg.it/repec/brh,OK
bri,Bristol Economics Working Paper Archive,http://www.efm.bris.ac.uk/economics/repec/bri,OK
brk,"Department of Economics, Brock University",https://brocku.ca/repec/brk/,OK
brn,"Department of Economics, Barnard College",http://www.econ.barnard.columbia.edu/RePEc/brn/,Connectoin Refused
bro,"Brown University, Department of Economics",http://www.econ.brown.edu/bro/,OK
brs,"Departamento de Economia da Universidade de Brasilia, Brazil",http://e-groups.unb.br/face/eco/repec,Connectoin Refused
brt,"Department of Economic Policy, Faculty of National Economy, University of Economics in Bratislava",https://slovakecon.sk/RePEc/brt/,OK
bru,Economics and Finance Discussion Papers Archive at Brunel University,ftp://ftp.brunel.ac.uk/repec/bru/,OK
brv,"Ekonomick√° univerzita, Fakulta medzin√°rodn√Ωch vz≈•ahov",http://fmv.euba.sk/RePEc/brv/,OK
bsl,Faculty of Business and Economics at the University of Basel,http://repec.wwz.unibas.ch/,OK
bss,"Department of Social Sciences, University of Bern",http://repec.sowi.unibe.ch/,OK
bsu,"Department of Economics, Ball State University",http://econfac.iweb.bsu.edu/RePEc/bsu/,Connectoin Refused
bth,"Monetary Policy Group, Bank of Thailand",http://www2.bot.or.th/repec/bth/,OK
btx,Oxford University Centre for Business Taxation,http://users.ox.ac.uk/~mast4607/btx/,Page Not Found
buc,University of BUckingham Press,http://www.jpmjgbe.esy.es/RePEC/buc/,OK
bue,British University in Egypt,http://www.carecon.org.uk/RePEc/bue/,OK
buh,"Library and Information Science Research, University of Bucharest",http://www.lisr.ro/RePEc/buh/,OK
bui,"Rosenberg Institute of Global Finance and International Business School, Brandeis University",https://www.brandeis.edu/global/about/centers/rosenberg/repec/bui/,OK
bus,The Journal of Philosophical Economics,http://www.jpe.ase.ro/RePEc/bus/,OK
but,"Faculty of Busines and Administration, University of Bucharest",http://www.faa.ro/RePEc/but,OK
bwd,"Department of Economics, Bowdoin College",http://learn.bowdoin.edu/repec/bwd/,OK
bwp,Brooks World Poverty Institute Working Paper Series,http://hummedia.manchester.ac.uk/institutes/gdi/RePEc/,OK
bwu,University Library of Wuppertal,http://elpub.bib.uni-wuppertal.de/repec/bwu/index.html,OK
bxr,ULB -- Universite Libre de Bruxelles -- Brussels Economic Review,http://repecarchives.ulb.ac.be/bxr/,OK
byu,"Department of Economics, Brigham Young University",http://fhssfacultydocuments.byu.edu/kerkphillips/RepEc/byu/,Page Not Found
bzn,BEMPS - Bozen Economics & Management  Paper Series,http://pro1.unibz.it/projects/economics/repec/bzn/,OK
cab,"Center for Advanced Research in Finance and Banking - CARFIB, Bucharest University of Economics",http://www.dofin.ase.ro/carfib/RePEc/cab/,OK
cae,Centro de Analisis y Estudios Rios Perez (CAERP),http://www.econ.umn.edu/~vr0j/caerp/cae/,OK
caf,Banking & Finance Conference Papers,http://www.usq.edu.au/repec/caf,Page Not Found
cai,Cairn.info,http://dedi.cairn.info/RePEc/cai/,OK
cam,Cambridge Working Papers in Economics [CWPE],http://www.econ.cam.ac.uk/research-files/repec/cam,OK
can,Documentos conjuntos ULL-ULPGC,http://www.webs.ulpgc.es/repec/can/,OK
cap,"CatÛlica Porto Business School, Universidade CatÛlica Portuguesa",http://www.feg.porto.ucp.pt/docentes/repec/cap/,OK
caq,Carocci editore,https://www.rivisteweb.it/export/repec/caq/,OK
car,"Carleton University, Department of Economics",http://www3.carleton.ca/cmfe/repec/car/,OK
cas,Laboratory for Macroeconomic Analysis,http://www.macro.hse.ru/repec/casseru/,Page Not Found
cat,"Department of Economics, IDEAR, Nucleo Milenium, Universidad Catolica del Norte",http://146.83.125.8/pub/RePEc/cat/,OK
cau,"College of Economics and Management, China Agricultural University",http://www.cau.edu.cn/cem/RePEc/cau/,Page Not Found
cav,S√≥nia da Silva Pina,http://pascal.iseg.utl.pt/~cesa/RePEc/cav,OK
cba,"National Centre for Social and Economic Modelling, University of Canberra",ftp://repec.canberra.edu.au/RePEc/cba/,OK
cbe,Council for Budget Responsibility,http://www.rozpoctovarada.sk/RePEc/cbe/index.html,OK
cbi,Central Bank of Ireland,http://repec.centralbank.ie/cbi/,OK
cbk,"Central Bank of Montenegro, Journal of Central Banking Theory and Practice",http://www.cbcg.me/RePEc/cbk/,OK
cbo,Congressional Budget Office,https://www.cbo.gov/sites/default/files/RePEc/cbo/,OK
cbr,"Centre for Business Research, University of Cambridge",https://www.cbr.cam.ac.uk/fileadmin/user_upload/centre-for-business-research/RePEc/cbr/,OK
cbt,"University of Canterbury, Working Papers in Economics",http://www.econ.canterbury.ac.nz/RePEc/cbt,OK
cbu,Constantin Brancusi University of Targu Jiu,http://www.utgjiu.ro/revista/repec/cbu/,OK
cca,Collegio Carlo Alberto,http://fileserver.carloalberto.org/repec/,OK
ccb,"Centre for Central Banking Studies, Bank of England",ftp://input.repec.org/pub/RePEc/ris/ccb/,OK
ccc,Cambridge Centre for Climate Change Mitigation Research,http://be.4cmr.group.cam.ac.uk/RePEc/ccc/,Connectoin Refused
cch,Canadian Centre for Health Economics,https://www.canadiancentreforhealtheconomics.ca/repec/cch/,
cci,"C·tedra de CooperaciÛn Internacional y con IberoamÈrica (COIBA), Universidad de Cantabria",http://www.ciberoamericana.com/pdf/RePEc/cci,OK
ccp,"Centre for Competition Policy, University of East Anglia",http://www.ccp.uea.ac.uk/RePEc/ccp,OK
cda,"Department of Economics, University of California, Davis",http://repec.econ.ucdavis.edu/RePEc/cda/,OK
cde,Delhi School of Economics,http://cdedse.org/repec/cde,OK
cdf,"Working Paper archive of Economics Section, Cardiff Business School, Cardiff University",http://carbsecon.com/wp/RePEc/cdf/,OK
cdh,C.D. Howe Institute,ftp://173.206.184.66/RePEc/cdh/,OK
cdi,CERDI Centre d'√©tudes et de recherche sur le d√©veloppement international,http://publi.cerdi.org/RePEc/cdi/,OK
cdl,University of California eScholarship Repository,http://www.escholarship.org/repec/,Page Not Found
cdp,"Cedeplar, Universidade Federal de Minas Gerais - Arquivo de publicaÁıes",http://www.cedeplar.ufmg.br/RePEc/cdp,OK
cdt,"Departamento de Estudios, Centro para el Desarrollo Tecnologico Industrial",http://www.cdti.es/DTEstudios/RePEc/cdt/,OK
cdx,"The Centre for Decision Research and Experimental Economics, School of Economics, University of Nottingham",ftp://ftp.nottingham.ac.uk/pub/Projects/RePEc/cdx/,OK
cea,Economic Working Papers Archive at Centro de Estudios Andaluces,http://public.centrodeestudiosandaluces.es/pdfs/repec/cea/,OK
cec,Chaire Economie du climat,http://www.chaireeconomieduclimat.org/RePEc/cec/,OK
cee,"CEPE Center for Energy Policy and Economics, ETH Zurich",http://www.files.ethz.ch/cepe/RePEc/cee/,
ceh,"Centre for Economic History Research, Sofia, Bulgaria",http://csii.bg/RePEc/ceh/,OK
cei,Centre for Industrial Economics and Services,ftp://www.ipe.ro/RePEc/cei/,OK
cej,Colombian Economic Journal,http://www.fce.unal.edu.co/RePEc/cej/,Page Not Found
cel,Central European Labour Studies Institute (CELSI),https://www.celsi.sk/repec/cel/,Connectoin Refused
cem,Economics Working Paper Archive at CEMA,https://www.ucema.edu.ar/RePEc/cem,OK
cen,"Center for Economic Studies, U.S. Census Bureau",https://www2.census.gov/ces/RePEc/cen,OK
ceo,"INRA UMR CESAER, Centre d'Economie et Sociologie appliquÈes ‡ l'Agriculture et aux Espaces Ruraux",http://www2.dijon.inra.fr/cesaer/workingpapers/RePEc/ceo,OK
cep,Economics Paper Archive at Centre for Economic Performance,http://rlab.lse.ac.uk/RePEc/cep,OK
